Id,PreferedAlbum,Vinyl,AvgTime,TicketInfo,Opinion,Concert,Age,VIP,Food,Drinks,FreePass
01/1936,Bright Size Life,False,0.721,B/119/N,Setlist dragged; the bassline wandered aimlessly. (NYC12).,NYC12-5pm,45.0,False,1296.0,1.0,False
01/9231,Bright Size Life,True,3.393,LB/1888/N,"Solid gig—nothing magical, nothing awful. (FL16). Loved the Bright Size Life vibes.",FL16-7pm,2.0,False,0.0,0.0,True
01/0489,Bright Size Life,True,2.499,B/31/N,World-class musicianship; I’d travel to see this again. (NYC12).,NYC12-5pm,33.0,False,0.0,0.0,True
02/5306,Bright Size Life,False,3.732,PB/160/XL,"Not terrible, just forgettable and overhyped. (NYC12).",NYC12-5pm,36.0,False,3550.0,0.0,True
02/1145,Bright Size Life,False,0.954,LB/231/N,The band was unstoppable; unforgettable performance from start to finish. (NYC12).,NYC12-5pm,19.0,False,2638.0,0.0,False
01/8297,,False,0.832,LB/1592/XL,The band was unstoppable; unforgettable performance from start to finish. (NYC12).,NYC12-5pm,21.0,False,5.0,661.0,False
01/0257,Bright Size Life,False,0.549,LB/49/XL,Transcendent performance; the crowd moved like one. (FL16). Loved the Bright Size Life vibes.,FL16-7pm,21.0,False,1664.0,0.0,False
01/4327,Head Hunters,False,3.866,LB/811/XL,,NYC12-5pm,20.0,False,899.0,0.0,True
01/3711,Bright Size Life,True,2.536,LB/700/XL,,NYC12-5pm,40.0,False,0.0,0.0,True
02/5562,Kind of Blue,True,2.21,PB/169/XL,,FL16-7pm,27.0,False,0.0,0.0,True
01/1695,Head Hunters,False,0.425,CB/264/XL,Band looked bored; the venue lights outperformed them. (NYC12). Loved the Head Hunters vibes.,NYC12-5pm,26.0,False,525.0,258.0,False
01/8319,Head Hunters,False,0.925,LB/1712/N,"Pretty standard concert; left satisfied, not thrilled. (NYC12).",NYC12-5pm,24.0,False,729.0,75.0,False
01/1163,Head Hunters,False,2.401,LB/235/N,Venue transformed into magic; I’m still buzzing. (FL16). Loved the Head Hunters vibes.,FL16-7pm,35.0,False,1333.0,7.0,True
01/0434,Bright Size Life,True,3.266,LB/77/XL,World-class musicianship; I’d travel to see this again. (NYC12).,NYC12-5pm,45.0,False,0.0,0.0,True
04/1354,Bright Size Life,False,2.544,PB/47/XL,Venue acoustics shined; every chorus hit perfectly. (NYC12).,NYC12-5pm,20.0,False,2709.0,0.0,True
01/2034,Head Hunters,False,0.766,LB/393/XL,Great energy and clean sound; the band really connected. (NYC12). Loved the Head Hunters vibes.,NYC12-5pm,42.0,False,512.0,771.0,False
01/3453,Head Hunters,True,0.571,CB/567/N,"Nice venue, middling performance; I'd go again maybe. (NYC12).",NYC12-5pm,21.0,False,0.0,0.0,False
01/3313,Kind of Blue,True,3.277,A/122/XL,World-class musicianship; I’d travel to see this again. (FL16). Loved the Kind of Blue vibes.,FL16-7pm,49.0,False,0.0,0.0,True
01/6596,Bright Size Life,False,2.7,PB/207/N,Crowd energy saved an otherwise shaky performance. (NYC12).,NYC12-5pm,44.0,False,962.0,0.0,True
01/1250,Head Hunters,False,0.88,LB/240/XL,"A masterclass live: tight, loud, and beautifully controlled. (NYC12).",NYC12-5pm,22.0,False,17.0,628.0,False
03/7128,Kind of Blue,False,0.602,A/238/N,Venue transformed into magic; I’m still buzzing. (FL16).,FL16-7pm,34.0,False,2613.0,2845.0,False
01/2051,Head Hunters,False,3.834,B/126/N,,NYC12-5pm,20.0,False,696.0,22.0,True
02/5983,Bright Size Life,True,2.905,LB/1233/N,"Everything worked, yet nothing surprised me. (NYC12).",NYC12-5pm,47.0,False,0.0,0.0,True
01/9069,Kind of Blue,True,2.995,A/297/N,"Competent playing, but no spark on stage. (NYC12). Loved the Kind of Blue vibes.",NYC12-5pm,22.0,False,0.0,0.0,True
01/2373,Kind of Blue,False,0.974,PB/81/XL,"Not terrible, just forgettable and overhyped. (NYC12).",NYC12-5pm,36.0,False,4756.0,7914.0,False
02/8728,Head Hunters,False,0.858,CB/1416/N,Awful acoustics; even the claps sounded wrong. (NYC12).,NYC12-5pm,55.0,False,695.0,87.0,False
01/3001,Kind of Blue,False,0.55,LT/101/N,"Set was fine; crowd cheered, I nodded along. (FL16).",FL16-7pm,38.0,True,1577.0,4784.0,False
03/1502,Kind of Blue,True,2.696,LT/54/N,Crystal-clear sound and wild energy—instant classic night. (FL16).,FL16-7pm,46.0,False,0.0,0.0,True
01/8824,Head Hunters,False,0.923,LB/1819/N,"Good effort, average sound; a perfectly okay night. (NYC12).",NYC12-5pm,29.0,False,258.0,605.0,False
02/6152,Kind of Blue,False,0.342,A/235/XL,,NYC12-5pm,31.0,False,53.0,3980.0,False
02/6816,Head Hunters,False,0.701,CB/1108/N,Neither hit nor miss; just a regular show. (NYC12). Loved the Head Hunters vibes.,NYC12-5pm,28.0,,944.0,75.0,False
02/3113,Bright Size Life,True,2.146,PB/96/N,The band was unstoppable; unforgettable performance from start to finish. (FL16).,FL16-7pm,56.0,False,0.0,0.0,True
07/7597,Head Hunters,False,0.171,LB/1577/N,,NYC12-5pm,20.0,False,265.0,1080.0,False
01/2932,Kind of Blue,True,2.987,A/109/XL,"Good effort, average sound; a perfectly okay night. (nan).",,45.0,False,0.0,0.0,True
01/6013,Head Hunters,True,3.549,CB/972/N,Painfully off-key vocals; the crowd deserved refunds. (NYC12). Loved the Head Hunters vibes.,NYC12-5pm,26.0,False,0.0,0.0,True
07/1354,Bright Size Life,False,3.906,LB/263/XL,,NYC12-5pm,21.0,False,1270.0,18.0,True
01/6078,Head Hunters,,2.153,LB/1255/N,Setlist dragged; the bassline wandered aimlessly. (NYC12). Loved the Head Hunters vibes.,NYC12-5pm,61.0,False,2353.0,62.0,True
01/3330,Bright Size Life,False,0.895,LB/692/N,Zero chemistry on stage; I left before the encore. (NYC12).,NYC12-5pm,42.0,False,1662.0,106.0,False
01/7770,Head Hunters,False,0.248,CB/1258/XL,Warm lighting and crisp sound made it memorable. (NYC12).,NYC12-5pm,17.0,False,688.0,320.0,False
01/0135,Head Hunters,False,0.949,LB/28/N,Strong vocals and tight drums—very fun night. (NYC12).,NYC12-5pm,40.0,False,928.0,0.0,False
01/1800,Head Hunters,False,3.595,CB/283/XL,Band looked bored; the venue lights outperformed them. (FL16). Loved the Head Hunters vibes.,FL16-7pm,12.0,False,0.0,0.0,True
01/5719,Head Hunters,False,2.534,CB/918/N,"Everything worked, yet nothing surprised me. (NYC12).",NYC12-5pm,70.0,False,390.0,518.0,True
01/9065,Bright Size Life,True,3.646,LB/1755/XL,Setlist dragged; the bassline wandered aimlessly. (NYC12). Loved the Bright Size Life vibes.,NYC12-5pm,,False,0.0,0.0,True
01/0133,Bright Size Life,True,2.684,LB/29/XL,Groove was relentless; I danced the whole time. (NYC12).,NYC12-5pm,19.0,False,0.0,0.0,True
02/8267,Bright Size Life,True,2.229,LB/1701/N,Venue transformed into magic; I’m still buzzing. (NYC12). Loved the Bright Size Life vibes.,NYC12-5pm,25.0,False,0.0,0.0,True
02/2088,Head Hunters,False,3.224,CB/331/XL,Poor lighting and thin sound dulled the show. (NYC12).,NYC12-5pm,40.0,False,52.0,877.0,True
01/5302,Bright Size Life,False,3.788,LB/1018/XL,Venue transformed into magic; I’m still buzzing. (NYC12).,NYC12-5pm,10.0,False,0.0,0.0,True
03/7142,Bright Size Life,True,0.017,B/474/XL,"Uneven set; strong start, weak finish. (NYC12).",NYC12-5pm,,False,0.0,0.0,False
01/6021,Head Hunters,True,2.363,CB/980/XL,World-class musicianship; I’d travel to see this again. (NYC12).,NYC12-5pm,22.0,False,0.0,0.0,True
01/7868,Head Hunters,False,0.682,B/517/XL,Transcendent performance; the crowd moved like one. (FL16).,FL16-7pm,17.0,False,6256.0,22.0,False
01/5493,Head Hunters,True,2.044,CB/883/XL,"Drums lagged, vocals cracked—worst concert I've sat through. (FL16). Loved the Head Hunters vibes.",FL16-7pm,29.0,False,0.0,0.0,True
01/8798,Head Hunters,False,0.15,LB/1706/XL,Best show all year; every note landed perfectly. (NYC12).,NYC12-5pm,27.0,False,2013.0,37.0,False
01/8312,Bright Size Life,True,3.768,LB/1597/XL,Painfully off-key vocals; the crowd deserved refunds. (nan). Loved the Bright Size Life vibes.,,22.0,False,0.0,0.0,True
01/6137,Head Hunters,False,3.396,CB/994/XL,"A masterclass live: tight, loud, and beautifully controlled. (NYC12). Loved the Head Hunters vibes.",NYC12-5pm,2.0,False,0.0,0.0,True
01/0979,Kind of Blue,False,3.617,A/40/XL,Security chaos and flat playing made it miserable. (nan).,,44.0,False,0.0,0.0,True
02/5740,Kind of Blue,False,0.771,RB/52/N,Perfect setlist and epic encore—worth every cent. (FL16). Loved the Kind of Blue vibes.,FL16-7pm,32.0,False,1558.0,1844.0,False
01/7316,Head Hunters,False,2.12,LB/1515/N,,SF14-7pm,43.0,False,727.0,23.0,True
01/4616,Head Hunters,False,0.492,CB/756/XL,Band looked bored; the venue lights outperformed them. (NYC12).,NYC12-5pm,23.0,False,0.0,419.0,False
01/9254,Head Hunters,True,0.91,CB/1502/N,Big atmosphere; the room felt alive. (SF14). Loved the Head Hunters vibes.,SF14-7pm,61.0,False,0.0,0.0,False
03/5684,Kind of Blue,False,0.715,A/218/XL,Great energy and clean sound; the band really connected. (FL16).,FL16-7pm,38.0,False,1246.0,1522.0,False
03/3543,Kind of Blue,True,3.781,LT/116/N,Groove was relentless; I danced the whole time. (NYC12). Loved the Kind of Blue vibes.,NYC12-5pm,56.0,False,0.0,0.0,True
01/7370,Head Hunters,False,0.768,LB/1525/N,Feedback screamed louder than the guitars. Disaster. (NYC12).,NYC12-5pm,21.0,False,72.0,486.0,False
02/4473,Bright Size Life,False,0.12,B/292/XL,,NYC12-5pm,27.0,False,1020.0,1.0,False
01/4296,Head Hunters,True,0.097,CB/703/XL,,NYC12-5pm,35.0,False,0.0,0.0,False
01/2022,Head Hunters,False,0.851,LB/390/XL,Strong vocals and tight drums—very fun night. (SF14). Loved the Head Hunters vibes.,SF14-7pm,36.0,False,809.0,86.0,False
03/4639,Kind of Blue,False,0.226,LT/177/XL,Strong vocals and tight drums—very fun night. (FL16).,FL16-7pm,37.0,False,3675.0,7017.0,False
03/5647,Kind of Blue,False,0.867,LT/178/N,,NYC12-5pm,48.0,False,0.0,4329.0,False
03/8452,Kind of Blue,True,2.838,LT/279/N,"Competent playing, but no spark on stage. (FL16). Loved the Kind of Blue vibes.",FL16-7pm,40.0,False,0.0,0.0,True
01/0327,Head Hunters,False,3.795,,Best show all year; every note landed perfectly. (NYC12).,NYC12-5pm,19.0,False,801.0,2.0,True
02/1114,Bright Size Life,False,0.143,B/79/XL,"They played tight, but the vibe stayed flat. (NYC12). Loved the Bright Size Life vibes.",NYC12-5pm,31.0,False,0.0,0.0,False
01/8460,Head Hunters,False,0.308,LB/1628/XL,,NYC12-5pm,39.0,False,84.0,677.0,False
01/5443,Head Hunters,False,0.929,LB/1124/N,,FL16-7pm,13.0,False,104.0,595.0,False
01/3543,Kind of Blue,False,2.13,LT/116/N,Feedback screamed louder than the guitars. Disaster. (NYC12). Loved the Kind of Blue vibes.,NYC12-5pm,39.0,False,2804.0,269.0,True
01/1898,Head Hunters,True,0.84,CB/296/XL,Punchy mix and smooth transitions kept it exciting. (FL16).,FL16-7pm,21.0,False,0.0,0.0,False
01/2715,Bright Size Life,False,0.054,B/162/N,Technical glitches kept breaking the mood. (NYC12). Loved the Bright Size Life vibes.,NYC12-5pm,24.0,False,1015.0,6.0,False
01/0315,,True,3.77,CB/42/XL,Best show all year; every note landed perfectly. (SF14).,SF14-7pm,35.0,False,0.0,0.0,True
02/5223,Bright Size Life,True,3.347,LB/1002/XL,"A masterclass live: tight, loud, and beautifully controlled. (SF14). Loved the Bright Size Life vibes.",SF14-7pm,,False,0.0,0.0,True
01/4668,Kind of Blue,True,3.109,LT/180/XL,"Set was fine; crowd cheered, I nodded along. (FL16).",FL16-7pm,64.0,False,0.0,0.0,True
01/1866,Head Hunters,False,0.448,LB/371/N,"Guitars were sharp, but everything else felt rushed. (NYC12). Loved the Head Hunters vibes.",NYC12-5pm,29.0,False,0.0,865.0,False
01/7740,,False,2.124,LB/1610/N,Feedback screamed louder than the guitars. Disaster. (SF14). Loved the nan vibes.,SF14-7pm,16.0,False,672.0,0.0,True
01/1362,Head Hunters,False,0.91,LB/265/XL,Zero chemistry on stage; I left before the encore. (NYC12).,NYC12-5pm,23.0,False,1268.0,121.0,False
01/8954,Head Hunters,False,0.015,CB/1452/N,"Too loud, too messy; still had a few moments. (SF14). Loved the Head Hunters vibes.",SF14-7pm,73.0,False,1853.0,0.0,False
02/6218,Head Hunters,False,0.107,B/413/XL,Perfect setlist and epic encore—worth every cent. (NYC12). Loved the Head Hunters vibes.,NYC12-5pm,36.0,False,1605.0,87.0,False
01/5866,Head Hunters,False,3.377,LB/1211/N,Big atmosphere; the room felt alive. (FL16).,FL16-7pm,30.0,False,628.0,0.0,True
01/3002,Head Hunters,False,0.645,LB/628/N,Stunning vocals and immaculate mixing; pure concert bliss. (SF14).,SF14-7pm,21.0,False,0.0,737.0,False
01/5838,Head Hunters,False,3.196,CB/945/N,Strong vocals and tight drums—very fun night. (NYC12). Loved the Head Hunters vibes.,NYC12-5pm,61.0,False,704.0,1.0,True
01/3186,Bright Size Life,True,3.453,LB/664/N,"Absolutely electric—flawless sound, goosebumps, and a roaring crowd. (NYC12).",NYC12-5pm,18.0,False,0.0,0.0,True
01/3975,Head Hunters,False,0.105,LB/753/XL,Setlist dragged; the bassline wandered aimlessly. (SF14).,SF14-7pm,51.0,False,553.0,118.0,False
01/3770,Head Hunters,True,3.433,CB/615/N,Neither hit nor miss; just a regular show. (NYC12). Loved the Head Hunters vibes.,NYC12-5pm,16.0,False,0.0,0.0,True
01/1732,Head Hunters,True,2.887,CB/282/N,Band looked bored; the venue lights outperformed them. (NYC12). Loved the Head Hunters vibes.,NYC12-5pm,21.0,False,0.0,0.0,True
01/0579,Head Hunters,False,2.409,LB/108/XL,Confident performance; solos were sharp and tasteful. (NYC12). Loved the Head Hunters vibes.,NYC12-5pm,55.0,False,880.0,0.0,True
01/3540,Head Hunters,True,3.838,CB/579/N,Perfect setlist and epic encore—worth every cent. (SF14).,SF14-7pm,14.0,False,0.0,0.0,True
01/3501,Bright Size Life,False,0.449,,,NYC12-5pm,32.0,False,2375.0,9.0,False
01/7752,Head Hunters,False,0.508,LB/1480/XL,Ear-splitting mix and sloppy timing ruined the night. (SF14). Loved the Head Hunters vibes.,SF14-7pm,18.0,False,0.0,747.0,False
01/0948,Head Hunters,False,0.86,CB/139/N,Strong vocals and tight drums—very fun night. (NYC12).,NYC12-5pm,22.0,False,836.0,598.0,False
01/6163,Head Hunters,False,0.957,B/409/XL,"Guitars were sharp, but everything else felt rushed. (NYC12).",NYC12-5pm,22.0,False,65.0,1603.0,False
01/2529,Kind of Blue,False,0.512,LT/89/N,Security chaos and flat playing made it miserable. (nan).,,39.0,True,2707.0,2948.0,False
04/5060,Kind of Blue,False,0.51,LT/157/N,Crystal-clear sound and wild energy—instant classic night. (FL16).,FL16-7pm,29.0,True,948.0,9129.0,False
01/6482,Bright Size Life,False,0.727,LB/1237/XL,Painfully off-key vocals; the crowd deserved refunds. (FL16).,FL16-7pm,26.0,False,1334.0,352.0,False
01/1642,Kind of Blue,False,0.193,B/102/N,Okay sound and okay singing—exactly what I expected. (NYC12).,NYC12-5pm,32.0,False,2908.0,2926.0,False
01/5494,Head Hunters,False,3.851,LB/1053/XL,"Drums lagged, vocals cracked—worst concert I've sat through. (NYC12). Loved the Head Hunters vibes.",NYC12-5pm,22.0,False,658.0,164.0,True
02/7257,Head Hunters,False,0.941,B/467/N,,NYC12-5pm,,False,13.0,779.0,False
01/2772,Head Hunters,False,0.001,CB/444/XL,Awful acoustics; even the claps sounded wrong. (NYC12). Loved the Head Hunters vibes.,NYC12-5pm,23.0,False,0.0,757.0,False
01/4684,Bright Size Life,False,2.424,LB/878/XL,Perfect setlist and epic encore—worth every cent. (NYC12). Loved the Bright Size Life vibes.,NYC12-5pm,50.0,False,1021.0,107.0,True
01/6686,Kind of Blue,False,0.002,LT/211/N,Okay sound and okay singing—exactly what I expected. (NYC12). Loved the Kind of Blue vibes.,NYC12-5pm,31.0,False,3866.0,2549.0,False
01/7500,,False,0.626,LB/1432/XL,Security chaos and flat playing made it miserable. (NYC12).,NYC12-5pm,54.0,True,2005.0,0.0,False
04/6363,Head Hunters,True,0.341,CB/1026/N,Warm lighting and crisp sound made it memorable. (NYC12). Loved the Head Hunters vibes.,NYC12-5pm,1.0,False,0.0,0.0,False
07/6787,Head Hunters,False,0.398,LB/1411/N,Ear-splitting mix and sloppy timing ruined the night. (NYC12). Loved the Head Hunters vibes.,NYC12-5pm,26.0,False,151.0,630.0,False
01/5763,Head Hunters,False,0.221,LB/1099/XL,"Uneven set; strong start, weak finish. (NYC12). Loved the Head Hunters vibes.",NYC12-5pm,40.0,False,56.0,643.0,False
03/6512,Kind of Blue,False,0.408,RB/80/XL,Setlist dragged; the bassline wandered aimlessly. (NYC12).,NYC12-5pm,28.0,False,3528.0,5165.0,False
01/6047,Head Hunters,False,3.261,CB/985/XL,Awful acoustics; even the claps sounded wrong. (SF14). Loved the Head Hunters vibes.,SF14-7pm,35.0,False,508.0,300.0,True
01/2557,Kind of Blue,True,2.406,LT/92/XL,Crystal-clear sound and wild energy—instant classic night. (NYC12).,NYC12-5pm,30.0,False,0.0,0.0,True
01/4192,Head Hunters,False,0.828,CB/689/N,"Everything worked, yet nothing surprised me. (FL16).",FL16-7pm,42.0,False,871.0,38.0,False
01/6779,Kind of Blue,False,3.722,A/258/XL,Crystal-clear sound and wild energy—instant classic night. (NYC12).,NYC12-5pm,37.0,False,8190.0,323.0,True
01/4372,Bright Size Life,True,2.196,LB/821/XL,"Solid gig—nothing magical, nothing awful. (NYC12). Loved the Bright Size Life vibes.",NYC12-5pm,54.0,False,0.0,0.0,True
01/5450,Head Hunters,True,3.98,CB/877/N,World-class musicianship; I’d travel to see this again. (SF14). Loved the Head Hunters vibes.,SF14-7pm,16.0,False,0.0,0.0,True
01/4377,Head Hunters,True,3.222,CB/711/XL,Poor lighting and thin sound dulled the show. (NYC12). Loved the Head Hunters vibes.,NYC12-5pm,29.0,False,0.0,0.0,True
02/6549,Bright Size Life,False,0.699,PB/198/XL,Strong vocals and tight drums—very fun night. (NYC12).,NYC12-5pm,61.0,,1723.0,0.0,False
02/7319,Head Hunters,False,2.046,CB/1176/N,Big atmosphere; the room felt alive. (SF14).,SF14-7pm,16.0,False,820.0,14.0,True
01/5788,Bright Size Life,False,3.764,LB/1105/XL,,NYC12-5pm,27.0,False,1531.0,1.0,True
01/6713,Head Hunters,False,0.095,LB/1395/N,"A masterclass live: tight, loud, and beautifully controlled. (FL16).",FL16-7pm,24.0,False,700.0,0.0,False
03/8503,Kind of Blue,True,3.369,A/279/N,Warm lighting and crisp sound made it memorable. (FL16). Loved the Kind of Blue vibes.,FL16-7pm,18.0,False,0.0,0.0,True
01/6273,Bright Size Life,False,0.057,PB/196/N,Ear-splitting mix and sloppy timing ruined the night. (NYC12). Loved the Bright Size Life vibes.,NYC12-5pm,23.0,False,690.0,1888.0,False
01/4258,Kind of Blue,False,0.506,RB/37/N,Transcendent performance; the crowd moved like one. (NYC12).,NYC12-5pm,39.0,False,266.0,1451.0,False
01/2770,Head Hunters,False,0.73,CB/443/XL,Neither hit nor miss; just a regular show. (NYC12).,NYC12-5pm,56.0,False,1721.0,96.0,False
02/1384,Head Hunters,True,0.664,CB/210/XL,"Absolutely electric—flawless sound, goosebumps, and a roaring crowd. (NYC12).",NYC12-5pm,6.0,False,0.0,0.0,False
03/5357,Kind of Blue,False,0.864,A/184/N,Transcendent performance; the crowd moved like one. (FL16). Loved the Kind of Blue vibes.,FL16-7pm,37.0,True,1978.0,2491.0,False
01/6957,Kind of Blue,False,3.395,A/266/XL,World-class musicianship; I’d travel to see this again. (NYC12).,NYC12-5pm,26.0,False,2222.0,118.0,True
02/8150,Bright Size Life,True,2.55,B/539/XL,"Absolutely electric—flawless sound, goosebumps, and a roaring crowd. (SF14).",SF14-7pm,49.0,False,0.0,0.0,True
01/6503,Head Hunters,False,0.133,LB/1347/N,Feedback screamed louder than the guitars. Disaster. (NYC12).,NYC12-5pm,27.0,False,21.0,1363.0,False
01/7502,Kind of Blue,False,2.674,LT/241/N,Perfect setlist and epic encore—worth every cent. (FL16). Loved the Kind of Blue vibes.,FL16-7pm,45.0,False,6040.0,625.0,True
01/6237,Bright Size Life,True,3.829,LB/1195/XL,Venue transformed into magic; I’m still buzzing. (NYC12). Loved the Bright Size Life vibes.,NYC12-5pm,52.0,False,0.0,0.0,True
01/1517,Head Hunters,False,0.606,LB/294/XL,"Not terrible, just forgettable and overhyped. (NYC12).",NYC12-5pm,22.0,False,840.0,63.0,False
02/5552,Bright Size Life,True,3.27,LB/1150/N,Stunning vocals and immaculate mixing; pure concert bliss. (NYC12).,NYC12-5pm,11.0,False,0.0,0.0,True
01/8567,Kind of Blue,False,0.766,B/549/N,Transcendent performance; the crowd moved like one. (FL16).,FL16-7pm,43.0,False,417.0,5285.0,False
01/8986,Head Hunters,False,0.938,B/590/XL,Feedback screamed louder than the guitars. Disaster. (NYC12).,NYC12-5pm,19.0,False,831.0,788.0,False
01/0351,Bright Size Life,True,2.034,LB/77/N,"A masterclass live: tight, loud, and beautifully controlled. (NYC12).",NYC12-5pm,41.0,,0.0,0.0,True
06/1709,Bright Size Life,False,0.101,PB/61/XL,Groove was relentless; I danced the whole time. (NYC12).,NYC12-5pm,15.0,False,2200.0,1261.0,False
03/3244,Kind of Blue,True,2.655,RB/38/XL,Zero chemistry on stage; I left before the encore. (FL16).,FL16-7pm,18.0,False,0.0,0.0,True
01/9062,Head Hunters,False,0.24,LB/1854/N,,NYC12-5pm,26.0,False,1623.0,1369.0,False
03/3688,Bright Size Life,True,3.197,LB/697/XL,"Solid gig—nothing magical, nothing awful. (NYC12).",NYC12-5pm,20.0,False,0.0,0.0,True
03/4975,Head Hunters,True,2.296,CB/813/XL,Poor lighting and thin sound dulled the show. (SF14).,SF14-7pm,2.0,False,0.0,0.0,True
03/3883,Kind of Blue,True,2.197,A/150/XL,Crystal-clear sound and wild energy—instant classic night. (FL16).,FL16-7pm,13.0,False,0.0,0.0,True
01/4472,Head Hunters,False,0.355,CB/734/N,,SF14-7pm,24.0,False,1721.0,59.0,False
03/4371,,True,2.119,LT/158/XL,"A masterclass live: tight, loud, and beautifully controlled. (NYC12).",NYC12-5pm,22.0,False,0.0,0.0,True
02/5293,Head Hunters,False,0.541,B/329/N,Venue transformed into magic; I’m still buzzing. (NYC12).,NYC12-5pm,15.0,False,961.0,19.0,False
01/3224,Head Hunters,,3.261,LB/607/XL,Warm lighting and crisp sound made it memorable. (NYC12).,NYC12-5pm,33.0,False,950.0,102.0,True
01/6075,Kind of Blue,True,2.641,A/206/N,Security chaos and flat playing made it miserable. (NYC12).,NYC12-5pm,26.0,False,0.0,0.0,True
02/0504,Kind of Blue,True,2.747,A/19/XL,"Not terrible, just forgettable and overhyped. (FL16). Loved the Kind of Blue vibes.",FL16-7pm,54.0,False,0.0,0.0,True
01/3963,Head Hunters,,2.12,CB/648/N,Venue transformed into magic; I’m still buzzing. (SF14).,SF14-7pm,20.0,False,0.0,0.0,True
01/4115,Head Hunters,True,0.409,CB/679/XL,Zero chemistry on stage; I left before the encore. (SF14).,SF14-7pm,19.0,False,0.0,0.0,False
